item_name,n,n_num,num_share,p001,p01,p99,p999,oor_strict,oor_loose,delta_rows,flagged_rate_released_pct,flagged_rate_alt_pct
炎症体质指数,4252,4252,1.0,1.946279,2.31467,16.135929999999988,31.96823599999984,10,86,76,0.2352,2.0226
甲状腺素,4251,4246,0.9988238061632557,3.5793999999999997,4.6445,11.075500000000002,15.43345000000002,10,86,76,0.2355,2.0254
脑功能,4169,4169,1.0,17.7,27.668,79.29599999999992,85.63280000000013,8,84,76,0.1919,2.0149
消化系统,4169,4169,1.0,17.9,26.568,73.73199999999997,80.08320000000003,9,84,75,0.2159,2.0149
呼吸系统,4169,4169,1.0,10.4008,24.668,78.03199999999997,85.11600000000017,10,84,74,0.2399,2.0149
大气污染暴露,4169,4169,1.0,20.7176,29.968,72.53199999999997,79.36560000000027,10,84,74,0.2399,2.0149
总览,4169,4169,1.0,14.2368,26.968,82.66399999999993,88.68320000000003,10,84,74,0.2399,2.0149
环境毒物暴露,4169,4169,1.0,19.3504,27.968,74.65999999999985,81.31600000000017,10,84,74,0.2399,2.0149
神经系统,4169,4169,1.0,18.084799999999998,28.704,77.23199999999997,83.68240000000023,10,84,74,0.2399,2.0149
肝功能,4169,4169,1.0,11.536,26.368,80.13199999999996,86.68320000000003,10,84,74,0.2399,2.0149
